Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with TF-IDF.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
       300           0.0009           54.26s
       400           0.0003           26.99s
       500           0.0001            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6038            1.94m
         2           0.5612            1.96m
         3           0.5279            1.97m
         4           0.4942            1.94m
         5           0.4735            2.02m
         6           0.4477            2.14m
         7           0.4308            2.13m
         8           0.4172            2.11m
         9           0.4087            2.11m
        10           0.3952            2.16m
        20           0.3239            2.15m
        30           0.2744            2.06m
        40           0.2324            2.00m
        50           0.2088            1.95m
        60           0.1770            1.89m
        70           0.1621            1.87m
        80           0.1383            1.82m
        90           0.1277            1.78m
       100           0.1105            1.74m
       200           0.0351            1.29m
       300           0.0128           50.03s
       400           0.0046           24.62s
       500           0.0017            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7185           22.76s
         2           0.6823           24.04s
         3           0.6488           24.84s
         4           0.6234           24.39s
         5           0.5988           25.01s
         6           0.5810           25.41s
         7           0.5641           24.87s
         8           0.5437           24.49s
         9           0.5308           25.13s
        10           0.5164           25.39s
        20           0.4164           21.34s
        30           0.3598           18.33s
        40           0.3158           15.90s
        50           0.2859           13.48s
        60           0.2593           10.86s
        70           0.2384            8.15s
        80           0.2190            5.47s
        90           0.2024            2.77s
       100           0.1805            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6622           24.53s
         2           0.6455           24.37s
         3           0.6302           24.17s
         4           0.6172           23.77s
         5           0.6059           23.43s
         6           0.5946           23.27s
         7           0.5829           22.98s
         8           0.5736           22.67s
         9           0.5646           22.43s
        10           0.5570           23.74s
        20           0.4872           21.82s
        30           0.4425           18.75s
        40           0.4107           15.82s
        50           0.3848           13.13s
        60           0.3634           10.52s
        70           0.3493            7.92s
        80           0.3363            5.26s
        90           0.3235            2.61s
       100           0.3139            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6622            2.01m
         2           0.6455            1.98m
         3           0.6302            2.03m
         4           0.6172            2.03m
         5           0.6059            2.03m
         6           0.5946            2.02m
         7           0.5829            2.02m
         8           0.5736            2.04m
         9           0.5646            2.11m
        10           0.5570            2.10m
        20           0.4872            2.02m
        30           0.4425            1.98m
        40           0.4107            1.95m
        50           0.3848            1.91m
        60           0.3634            1.89m
        70           0.3493            1.86m
        80           0.3363            1.82m
        90           0.3235            1.79m
       100           0.3139            1.74m
       200           0.2262            1.35m
       300           0.1705           54.17s
       400           0.1324           26.86s
       500           0.1036            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6251            1.99m
         2           0.5555            2.02m
         3           0.5126            2.04m
         4           0.4733            2.13m
         5           0.4423            2.10m
         6           0.4152            2.08m
         7           0.3882            2.25m
         8           0.3700            2.29m
         9           0.3538            2.32m
        10           0.3404            2.29m
        20           0.2424            2.16m
        30           0.1825            2.08m
        40           0.1349            2.02m
        50           0.1110            1.96m
        60           0.0941            1.91m
        70           0.0834            1.90m
        80           0.0733            1.84m
        90           0.0656            1.79m
       100           0.0579            1.73m
       200           0.0250            1.33m
       300           0.0132           53.00s
       400           0.0074           26.28s
       500           0.0041            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6390           25.88s
         2           0.6106           25.18s
         3           0.5838           24.86s
         4           0.5632           25.40s
         5           0.5435           24.84s
         6           0.5291           24.39s
         7           0.5120           23.95s
         8           0.4949           24.27s
         9           0.4839           23.85s
        10           0.4738           23.45s
        20           0.3897           21.31s
        30           0.3519           19.40s
        40           0.3223           16.40s
        50           0.3016           13.59s
        60           0.2834           10.87s
        70           0.2615            8.19s
        80           0.2453            5.41s
        90           0.2262            2.70s
       100           0.2111            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6373            4.04m
         2           0.6049            4.06m
         3           0.5752            4.05m
         4           0.5506            4.08m
         5           0.5339            4.20m
         6           0.5189            4.17m
         7           0.5012            4.15m
         8           0.4858            4.13m
         9           0.4733            4.10m
        10           0.4603            4.09m
        20           0.3834            4.23m
        30           0.3429            4.16m
        40           0.3092            4.17m
        50           0.2808            4.13m
        60           0.2583            4.07m
        70           0.2397            4.04m
        80           0.2218            4.01m
        90           0.2023            3.98m
       100           0.1887            3.92m
       200           0.0956            3.49m
       300           0.0510            3.10m
       400           0.0271            2.64m
       500           0.0150            2.19m
       600           0.0083            1.73m
       700           0.0048            1.30m
       800           0.0028           52.53s
       900           0.0016           26.36s
      1000           0.0009            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6037            2.24m
         2           0.5540            2.23m
         3           0.5208            2.29m
         4           0.4932            2.38m
         5           0.4687            2.33m
         6           0.4528            2.35m
         7           0.4275            2.32m
         8           0.4181            2.28m
         9           0.4066            2.25m
        10           0.3872            2.24m
        20           0.3206            2.31m
        30           0.2664            2.20m
        40           0.2210            2.13m
        50           0.1888            2.06m
        60           0.1656            2.03m
        70           0.1431            1.95m
        80           0.1285            1.89m
        90           0.1093            1.83m
       100           0.0972            1.78m
       200           0.0281            1.32m
       300           0.0096           52.20s
       400           0.0032           25.76s
       500           0.0011            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7159           25.38s
         2           0.6708           25.35s
         3           0.6427           26.01s
         4           0.6164           25.87s
         5           0.5935           26.27s
         6           0.5706           25.87s
         7           0.5539           25.27s
         8           0.5353           25.48s
         9           0.5216           25.95s
        10           0.5094           25.47s
        20           0.4112           21.77s
        30           0.3492           19.10s
        40           0.3070           16.21s
        50           0.2756           13.66s
        60           0.2509           10.80s
        70           0.2298            8.09s
        80           0.2120            5.38s
        90           0.1941            2.68s
       100           0.1746            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6627           31.13s
         2           0.6475           33.44s
         3           0.6320           30.82s
         4           0.6190           28.84s
         5           0.6068           27.41s
         6           0.5947           26.44s
