Mapped labels: spam->1, ham->0.
Replaced long strings of numbers and dashes with a unique word.
Replaced 5 digit numbers with a unique word.
Replaced monetary amounts with a unique word.
Vectorized data with binary BoW.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
        10           0.4033            2.73m
        20           0.3073            2.64m
        30           0.2776            2.55m
        40           0.2639            2.48m
        50           0.2481            2.41m
        60           0.2363            2.35m
        70           0.2238            2.29m
        80           0.2127            2.21m
        90           0.2021            2.14m
       100           0.1926            2.08m
       200           0.1227            1.52m
       300           0.0838            1.01m
       400           0.0582           29.71s
       500           0.0420            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4655           36.30s
         2           0.3819           39.50s
         3           0.3280           37.16s
         4           0.2831           36.43s
         5           0.2550           34.64s
         6           0.2306           33.55s
         7           0.2124           32.74s
         8           0.1972           32.17s
         9           0.1856           31.92s
        10           0.1728           32.49s
        20           0.0950           28.56s
        30           0.0581           24.00s
        40           0.0449           19.38s
        50           0.0358           16.60s
        60           0.0311           13.27s
        70           0.0256           10.02s
        80           0.0221            6.69s
        90           0.0194            3.36s
       100           0.0167            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4684            2.42m
         2           0.3825            2.91m
         3           0.3314            2.91m
         4           0.2909            2.93m
         5           0.2645            2.87m
         6           0.2410            2.85m
         7           0.2189            2.82m
         8           0.2042            2.82m
         9           0.1919            2.85m
        10           0.1789            2.85m
        20           0.0902            2.83m
        30           0.0517            2.65m
        40           0.0379            2.53m
        50           0.0303            2.44m
        60           0.0257            2.36m
        70           0.0218            2.28m
        80           0.0195            2.21m
        90           0.0167            2.14m
       100           0.0145            2.09m
       200           0.0046            1.55m
       300           0.0020            1.01m
       400           0.0010           31.16s
       500           0.0005            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5796           30.50s
         2           0.5033           30.27s
         3           0.4485           29.81s
         4           0.4030           29.83s
         5           0.3712           29.93s
         6           0.3430           30.08s
         7           0.3232           29.97s
         8           0.3129           29.57s
         9           0.3015           29.55s
        10           0.2953           29.11s
        20           0.2551           26.59s
        30           0.2281           23.39s
        40           0.2059           20.07s
        50           0.1833           16.78s
        60           0.1647           13.40s
        70           0.1481           10.14s
        80           0.1387            6.75s
        90           0.1247            3.38s
       100           0.1133            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5758            2.53m
         2           0.4975            2.71m
         3           0.4404            2.88m
         4           0.3974            3.00m
         5           0.3680            3.24m
         6           0.3392            3.24m
         7           0.3213            3.20m
         8           0.3081            3.13m
         9           0.2986            3.09m
        10           0.2893            3.10m
        20           0.2477            2.82m
        30           0.2216            2.66m
        40           0.1971            2.59m
        50           0.1781            2.54m
        60           0.1573            2.49m
        70           0.1410            2.42m
        80           0.1250            2.35m
        90           0.1133            2.30m
       100           0.1033            2.24m
       200           0.0414            1.63m
       300           0.0181            1.09m
       400           0.0080           32.39s
       500           0.0035            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3182            2.53m
         2           0.2333            2.67m
         3           0.1918            2.71m
         4           0.1662            2.73m
         5           0.1424            2.72m
         6           0.1321            2.68m
         7           0.1163            2.68m
         8           0.1086            2.68m
         9           0.1008            2.65m
        10           0.0930            2.64m
        20           0.0256            2.59m
        30           0.0135            2.59m
        40           0.0092            2.51m
        50           0.0065            2.45m
        60           0.0046            2.38m
        70           0.0035            2.33m
        80           0.0026            2.27m
        90           0.0019            2.22m
       100           0.0015            2.16m
       200           0.0002            1.61m
       300           0.0000            1.05m
       400           0.0000           30.28s
       500           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4947            2.41m
         2           0.3924            2.29m
         3           0.3389            2.21m
         4           0.3105            2.20m
      Iter       Train Loss   Remaining Time 
         1           0.6359           31.35s
         2           0.5955           31.81s
         3           0.5601           31.33s
         4           0.5279           31.65s
         5           0.4997           31.85s
         6           0.4742           31.26s
         7           0.4517           30.33s
         8           0.4314           29.66s
         9           0.4119           28.58s
        10           0.3943           27.67s
        20           0.2988           22.75s
        30           0.2664           19.07s
        40           0.2499           16.31s
        50           0.2356           13.73s
        60           0.2232           11.11s
        70           0.2073            8.44s
        80           0.1974            5.57s
        90           0.1869            2.83s
       100           0.1781            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6359            2.41m
         2           0.5955            2.39m
         3           0.5601            2.41m
         4           0.5279            2.49m
         5           0.4997            2.54m
         6           0.4742            2.54m
         7           0.4517            2.52m
         8           0.4314            2.51m
         9           0.4119            2.50m
        10           0.3943            2.51m
        20           0.2988            2.43m
        30           0.2664            2.37m
        40           0.2499            2.27m
        50           0.2348            2.22m
        60           0.2222            2.16m
        70           0.2073            2.11m
        80           0.1966            2.03m
        90           0.1866            1.99m
       100           0.1779            1.97m
       200           0.1090            1.51m
       300           0.0705           59.35s
       400           0.0473           29.43s
       500           0.0328            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6374            4.68m
         2           0.5984            4.65m
         3           0.5637            4.77m
         4           0.5330            4.70m
         5           0.5061            4.73m
         6           0.4816            4.67m
         7           0.4603            4.63m
         8           0.4408            4.61m
         9           0.4220            4.65m
        10           0.4063            4.68m
        20           0.3132            4.66m
        30           0.2862            4.43m
        40           0.2729            4.30m
        50           0.2552            4.19m
        60           0.2454            4.14m
        70           0.2350            4.14m
        80           0.2230            4.20m
        90           0.2141            4.25m
       100           0.2042            4.29m
       200           0.1360            4.04m
       300           0.0949            3.57m
       400           0.0669            3.05m
       500           0.0479            2.52m
       600           0.0347            2.02m
       700           0.0256            1.54m
       800           0.0188            1.03m
       900           0.0139           31.13s
      1000           0.0103            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3112           31.01s
         2           0.2312           32.53s
         3           0.1874           32.43s
         4           0.1605           32.17s
         5           0.1481           31.62s
         6           0.1318           31.27s
         7           0.1158           30.87s
         8           0.1080           30.42s
         9           0.0979           29.86s
        10           0.0899           29.29s
        20           0.0302           25.30s
        30           0.0171           22.21s
        40           0.0107           19.07s
        50           0.0071           15.88s
        60           0.0047           12.66s
        70           0.0036            9.47s
        80           0.0024            6.40s
        90           0.0018            3.18s
       100           0.0014            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3027           30.57s
         2           0.2168           32.14s
         3           0.1767           31.47s
         4           0.1538           30.94s
         5           0.1340           30.48s
         6           0.1209           30.72s
         7           0.1051           30.64s
         8           0.0971           30.09s
         9           0.0867           29.50s
        10           0.0794           29.47s
        20           0.0250           25.62s
        30           0.0132           22.44s
        40           0.0093           19.34s
        50           0.0064           16.01s
        60           0.0045           12.76s
        70           0.0036            9.58s
        80           0.0024            6.37s
        90           0.0019            3.19s
       100           0.0015            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3088           29.75s
         2           0.2357           29.98s
         3           0.1996           30.40s
         4           0.1827           29.72s
         5           0.1585           29.38s
         6           0.1513           28.65s
         7           0.1300           28.54s
         8           0.1198           28.41s
         9           0.1121           28.14s
        10           0.1043           27.97s
        20           0.0406           24.95s
        30           0.0165           22.03s
        40           0.0112           18.94s
        50           0.0074           15.77s
        60           0.0056           12.59s
        70           0.0041            9.42s
        80           0.0031            6.26s
        90           0.0023            3.12s
       100           0.0016            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3112            3.40m
         2           0.2312            3.21m
         3           0.1874            3.00m
         4           0.1605            2.90m
         5           0.1481            2.81m
         6           0.1318            2.75m
         7           0.1158            2.73m
         8           0.1080            2.71m
         9           0.0979            2.70m
        10           0.0899            2.68m
        20           0.0302            2.58m
        30           0.0171            2.51m
        40           0.0107            2.52m
        50           0.0071            2.44m
        60           0.0047            2.36m
        70           0.0036            2.30m
        80           0.0027            2.24m
        90           0.0019            2.18m
       100           0.0014            2.13m
       200           0.0001            1.60m
       300           0.0000            1.03m
       400           0.0000           29.83s
       500           0.0000            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4999           24.67s
         2           0.4017           24.40s
         3           0.3426           24.27s
         4           0.3059           23.83s
         5           0.2955           23.85s
         6           0.2784           23.94s
         7           0.2668           23.95s
         8           0.2642           23.66s
         9           0.2616           23.38s
        10           0.2590           23.03s
        20           0.1883           20.59s
